Symbol,BBIndicator
GGG,On Lower Band
GH,On Upper Band
GHG,On Upper Band
GHL,On Lower Band
GILD,On Upper Band
GLBS,On Upper Band
GLEO,On Upper Band
GLOP,On Upper Band
GLP,On Upper Band
GMAB,On Upper Band
GMHI,Above Upper Band
GMZ,On Upper Band
GNC,On Upper Band
GNCA,On Upper Band
GNFT,Above Upper Band
GNLN,On Upper Band
GNMK,On Upper Band
GNPX,On Upper Band
GNSS,On Upper Band
GO,On Upper Band
GOLD,On Upper Band
GOSS,On Upper Band
GPAQ,Above Upper Band
GPOR,Above Upper Band
GRAF,On Upper Band
GRF,On Upper Band
GRIN,On Upper Band
GRTX,On Upper Band
GRVY,On Upper Band
GSB,On Upper Band
GSH,On Lower Band
GSHD,On Upper Band
GSMG,On Upper Band
GSP,On Lower Band
GSV,On Upper Band
GTE,On Upper Band
GTLS,On Upper Band
GTT,On Upper Band
GURE,On Upper Band
GYC,On Upper Band
GYRO,Above Upper Band
HAE,On Upper Band
HAL,On Upper Band
HALO,On Upper Band
HAPP,On Lower Band
HARP,On Upper Band
HCAC,On Upper Band
HCCHU,Above Upper Band
HCHC,On Upper Band
HCI,On Upper Band
HCM,On Upper Band
HCSG,On Upper Band
HEAR,On Upper Band
HEP,On Upper Band
HEPA,On Lower Band
HES,On Upper Band
HESM,On Upper Band
HFC,On Upper Band
HFRO,On Lower Band
HHHHU,Above Upper Band
HJLI,On Upper Band
HL,On Upper Band
HLF,On Upper Band
HMG,Above Upper Band
HMLP,On Upper Band
HMY,On Upper Band
